Itrs,Loss,Overall_Acc,Mean_IoU
351,0.395066,,
352,0.618566,,
353,0.476600,,
354,0.242648,,
355,0.262363,,
356,0.333182,,
357,0.273353,,
358,0.315992,,
359,0.259474,,
360,0.357674,,
361,0.234783,,
362,0.278231,,
363,0.314921,,
364,0.282720,,
365,0.317395,,
366,0.400951,,
367,0.419639,,
368,0.257972,,
369,0.297975,,
370,0.291283,,
371,0.269760,,
372,0.498237,,
373,0.183033,,
374,0.508537,,
375,0.475860,,
376,0.330393,,
377,0.521845,,
378,0.264589,,
379,0.346909,,
380,0.332944,,
381,0.224594,,
382,0.386022,,
383,0.255260,,
384,0.372922,,
385,0.368867,,
386,0.384452,,
387,0.384542,,
388,0.245715,,
389,0.417778,,
390,0.264178,,
391,0.401541,,
392,0.562742,,
393,0.237024,,
394,0.246329,,
395,0.221929,,
396,0.476273,,
397,0.299417,,
398,0.276440,,
399,0.402432,,
400,0.296721,0.887308,0.599118
401,0.306023,,
402,0.243249,,
403,0.189393,,
404,0.230619,,
405,0.391749,,
406,0.432504,,
407,0.488358,,
408,0.373031,,
409,0.470874,,
410,0.281438,,
411,0.428093,,
412,0.303847,,
413,0.344996,,
414,0.272270,,
415,0.289521,,
416,0.342295,,
417,0.236309,,
418,0.497857,,
419,0.469008,,
420,0.362946,,
421,0.642306,,
422,0.370874,,
423,0.367882,,
424,0.379025,,
425,0.510145,,
426,0.656927,,
427,0.374526,,
428,0.414136,,
429,0.300980,,
430,0.239475,,
431,0.368579,,
432,0.278746,,
433,0.248386,,
434,0.241376,,
435,0.353268,,
436,0.339435,,
437,0.305352,,
438,0.381048,,
439,0.173316,,
440,0.239883,,
441,0.196970,,
442,0.226625,,
443,0.470525,,
444,0.266778,,
445,0.299446,,
446,0.269481,,
447,0.649655,,
448,0.452515,,
449,0.291645,,
450,0.238617,,
451,0.401024,,
452,0.220010,,
453,0.596606,,
454,0.338734,,
455,0.415999,,
456,0.258975,,
457,0.210845,,
458,0.344811,,
459,0.321042,,
460,0.370460,,
461,0.246792,,
462,0.261071,,
463,0.424513,,
464,0.437094,,
465,0.284396,,
466,0.615150,,
467,0.202229,,
468,0.270173,,
469,0.341818,,
470,0.186664,,
471,0.188517,,
472,0.648287,,
473,0.387303,,
474,0.325416,,
475,0.363042,,
476,0.250847,,
477,0.348577,,
478,0.244040,,
479,0.229244,,
480,0.287890,,
481,0.279916,,
482,0.780460,,
483,0.400365,,
484,0.298434,,
485,0.282818,,
486,0.387674,,
487,0.356255,,
488,0.384200,,
489,0.319439,,
490,0.410612,,
491,0.277691,,
492,0.259618,,
493,0.489413,,
494,0.260049,,
495,0.211159,,
496,0.272324,,
497,0.335392,,
498,0.686866,,
499,0.406393,,
500,0.339109,0.875804,0.539561
501,0.307458,,
502,0.275904,,
503,0.364740,,
504,0.287429,,
505,0.366921,,
506,0.252793,,
507,0.282832,,
508,0.537071,,
509,0.217673,,
510,0.356309,,
511,0.538263,,
512,0.323059,,
513,0.278934,,
514,0.333534,,
515,0.290053,,
516,0.479782,,
517,0.479631,,
518,0.341962,,
519,0.316978,,
520,0.308566,,
521,0.381557,,
522,0.233606,,
523,0.555369,,
524,0.215865,,
525,0.326654,,
526,0.317374,,
527,0.252751,,
528,0.347780,,
529,0.262297,,
530,0.273252,,
531,0.209826,,
532,0.312139,,
533,0.313807,,
534,0.204741,,
535,0.179324,,
536,0.263404,,
537,0.588062,,
538,0.244502,,
539,0.192893,,
540,0.267389,,
541,0.284730,,
542,0.232015,,
543,0.323231,,
544,0.450187,,
545,0.335368,,
546,0.571212,,
547,0.553050,,
548,0.226130,,
549,0.383226,,
550,0.394992,,
551,0.261165,,
552,0.501468,,
553,0.200072,,
554,0.216948,,
555,0.211490,,
556,0.233095,,
557,0.828590,,
558,0.244298,,
559,0.312907,,
560,0.292472,,
561,0.210252,,
562,0.277600,,
563,0.352657,,
564,0.265278,,
565,0.380601,,
566,0.480644,,
567,0.304708,,
568,0.252988,,
569,0.262679,,
570,0.412976,,
571,0.263403,,
572,0.440896,,
573,0.195100,,
574,0.262109,,
575,0.246031,,
576,0.530737,,
577,0.457804,,
578,0.234515,,
579,0.232637,,
580,0.373837,,
581,0.325115,,
582,0.346866,,
583,0.289546,,
584,0.236009,,
585,0.251543,,
586,0.313071,,
587,0.300510,,
588,0.345163,,
589,0.302612,,
590,0.458884,,
591,0.241103,,
592,0.195782,,
593,0.338321,,
594,0.354735,,
595,0.366924,,
596,0.582597,,
597,0.286931,,
598,0.255079,,
599,0.483008,,
600,0.329436,0.884159,0.601596
601,0.224706,,
602,0.392572,,
603,0.351063,,
604,0.245019,,
605,0.288502,,
606,0.365352,,
607,0.343105,,
608,0.651501,,
609,0.350924,,
610,0.275439,,
611,0.327053,,
612,0.340607,,
613,0.258143,,
614,0.305320,,
615,0.578727,,
616,0.279318,,
617,0.228055,,
618,0.314368,,
619,0.371245,,
620,0.278144,,
621,0.201846,,
622,0.297220,,
623,0.190699,,
624,0.378928,,
625,0.184958,,
626,0.225081,,
627,0.480218,,
628,0.316030,,
629,0.307300,,
630,0.259104,,
631,0.381774,,
632,0.271940,,
633,0.214443,,
634,0.181999,,
635,0.413283,,
636,0.227211,,
637,0.259676,,
638,0.337603,,
639,0.267960,,
640,0.271434,,
641,0.301195,,
642,0.143582,,
643,0.359093,,
644,0.267663,,
645,0.245717,,
646,0.301513,,
647,0.305821,,
648,0.271404,,
649,0.314169,,
650,0.262548,,
651,0.344402,,
652,0.184348,,
653,0.310493,,
654,0.270207,,
655,0.311836,,
656,0.177830,,
657,0.321123,,
658,0.215792,,
659,0.170104,,
660,0.337853,,
661,0.520072,,
662,0.323337,,
663,0.384878,,
664,0.201011,,
665,0.326823,,
666,0.337508,,
667,0.312857,,
668,0.285651,,
669,0.216147,,
670,0.167512,,
671,0.288385,,
672,0.206656,,
673,0.286910,,
674,0.229885,,
675,0.222026,,
676,0.242035,,
677,0.379208,,
678,0.398645,,
679,0.374769,,
680,0.302967,,
681,0.188411,,
682,0.212821,,
683,0.305986,,
684,0.242367,,
685,0.233639,,
686,0.260333,,
687,0.217078,,
688,0.238552,,
689,0.241304,,
690,0.235450,,
691,0.233766,,
692,0.219168,,
693,0.352120,,
694,0.278080,,
695,0.253394,,
696,0.189266,,
697,0.341076,,
698,0.585862,,
699,0.352363,,
700,0.270335,0.888560,0.617194
701,0.305896,,
702,0.426956,,
703,0.171252,,
704,0.219792,,
705,0.321409,,
706,0.209288,,
707,0.222138,,
708,0.366096,,
709,0.198360,,
710,0.217213,,
711,0.301223,,
712,0.279216,,
713,0.239267,,
714,0.375295,,
715,0.166806,,
716,0.262140,,
717,0.303252,,
718,0.378779,,
719,0.211950,,
720,0.421518,,
721,0.300160,,
722,0.196168,,
723,0.241206,,
724,0.364947,,
725,0.265588,,
726,0.292816,,
727,0.327948,,
728,0.241305,,
729,0.298925,,
730,0.569449,,
731,0.215533,,
732,0.179365,,
733,0.186081,,
734,0.270216,,
735,0.183926,,
736,0.277691,,
737,0.305201,,
738,0.182928,,
739,0.215075,,
740,0.269208,,
741,0.338783,,
742,0.250655,,
743,0.436579,,
744,0.241972,,
745,0.417466,,
746,0.215680,,
747,0.223386,,
748,0.248676,,
749,0.198054,,
750,0.293390,,
751,0.253984,,
752,0.406995,,
753,0.324254,,
754,0.198008,,
755,0.470362,,
756,0.198420,,
757,0.330405,,
758,0.375561,,
759,0.330358,,
760,0.307720,,
761,0.248077,,
762,0.293559,,
763,0.248710,,
764,0.264787,,
765,0.264404,,
766,0.190567,,
767,0.268370,,
768,0.591839,,
769,0.322964,,
770,0.197827,,
771,0.236680,,
772,0.307426,,
773,0.360761,,
774,0.240115,,
775,0.266142,,
776,0.215091,,
777,0.283479,,
778,0.275411,,
779,0.235514,,
780,0.313998,,
781,0.284707,,
782,0.267650,,
783,0.258969,,
784,0.201550,,
785,0.232803,,
786,0.252046,,
787,0.215352,,
788,0.163001,,
789,0.226529,,
790,0.295123,,
791,0.361274,,
792,0.250927,,
793,0.196987,,
794,0.343125,,
795,0.212919,,
796,0.249870,,
797,0.275381,,
798,0.250533,,
799,0.201864,,
800,0.295762,0.890359,0.619441
801,0.438586,,
802,0.235197,,
803,0.304844,,
804,0.419683,,
805,0.255859,,
806,0.193585,,
807,0.314542,,
808,0.216208,,
809,0.263985,,
810,0.243680,,
811,0.156045,,
812,0.242360,,
813,0.233920,,
814,0.223488,,
815,0.430453,,
816,0.334874,,
817,0.323900,,
818,0.244729,,
819,0.378512,,
820,0.371723,,
821,0.226041,,
822,0.381904,,
823,0.298329,,
824,0.244920,,
825,0.284637,,
826,0.214328,,
827,0.250477,,
828,0.221438,,
829,0.275103,,
830,0.201057,,
831,0.435327,,
832,0.225042,,
833,0.224108,,
834,0.220420,,
835,0.205062,,
836,0.466904,,
837,0.430085,,
838,0.225406,,
839,0.217796,,
840,0.232853,,
841,0.171105,,
842,0.285634,,
843,0.301751,,
844,0.204882,,
845,0.312920,,
846,0.244522,,
847,0.192989,,
848,0.382761,,
849,0.239083,,
850,0.598569,,
851,0.219904,,
852,0.246362,,
853,0.328062,,
854,0.408425,,
855,0.203282,,
856,0.227441,,
857,0.360361,,
858,0.421253,,
859,0.533106,,
860,0.167811,,
861,0.413521,,
862,0.197881,,
863,0.177874,,
864,0.269361,,
865,0.266641,,
866,0.312216,,
867,0.161919,,
868,0.179642,,
869,0.338897,,
870,0.158711,,
871,0.194268,,
872,0.125708,,
873,0.186235,,
874,0.442950,,
875,0.198942,,
876,0.399309,,
877,0.296273,,
878,0.175984,,
879,0.267688,,
880,0.318584,,
881,0.159125,,
882,0.589754,,
883,0.650986,,
884,0.204276,,
885,0.691269,,
886,0.394986,,
887,0.260802,,
888,0.325288,,
889,0.290604,,
890,0.279705,,
891,0.337047,,
892,0.192566,,
893,0.281128,,
894,0.276703,,
895,0.380700,,
896,0.209787,,
897,0.486673,,
898,0.197878,,
899,0.259231,,
900,0.244296,0.897674,0.624213
901,0.339668,,
902,0.131414,,
903,0.187167,,
904,0.327901,,
905,0.242409,,
906,0.311649,,
907,0.349565,,
908,0.228116,,
909,0.314723,,
910,0.243900,,
911,0.247315,,
912,0.280295,,
913,0.228496,,
914,0.446881,,
915,0.245587,,
916,0.191134,,
917,0.271046,,
918,0.306315,,
919,0.180337,,
920,0.343720,,
921,0.256713,,
922,0.279748,,
923,0.198085,,
924,0.216436,,
925,0.311269,,
926,0.141374,,
927,0.198720,,
928,0.224292,,
929,0.156638,,
930,0.198067,,
931,0.366377,,
932,0.258945,,
933,0.264236,,
934,0.564047,,
935,0.259157,,
936,0.381755,,
937,0.281150,,
938,0.381228,,
939,0.297321,,
940,0.356500,,
941,0.233185,,
942,0.255274,,
943,0.158168,,
944,0.200923,,
945,0.307331,,
946,0.519624,,
947,0.291874,,
948,0.179929,,
949,0.487401,,
950,0.399541,,
951,0.297422,,
952,0.324188,,
953,0.312626,,
954,0.280493,,
955,0.307714,,
956,0.238110,,
957,0.225783,,
958,0.234861,,
959,0.220857,,
960,0.450364,,
961,0.276273,,
962,0.215873,,
963,0.265452,,
964,0.246133,,
965,0.225517,,
966,0.310058,,
967,0.271143,,
968,0.237466,,
969,0.270312,,
970,0.321407,,
971,0.325104,,
972,0.232621,,
973,0.159355,,
974,0.243373,,
975,0.211734,,
976,0.331949,,
977,0.384335,,
978,0.155943,,
979,0.383041,,
980,0.249219,,
